orden,id,nombre_original,nombre_alternativo,ruta_relativa,distancia_km,puntos,elevacion,elevacion_min_m,elevacion_max_m,es_circuito,estado_revision,observaciones_automaticas,sha256_geometria
128,gilles-128-sca-camino-oriente,SCA-camino oriente,,gilles-128-sca-camino-oriente/ruta.gpx,4.314,75,completa,1481.9,1694.1,no,pendiente,,5b87c5447ac7bf70e3da7c3c7824fd703ebd1570b8235a0eac75ff501ec9ab7b
129,gilles-129-sdn-conexion-1,SDN-conexión-1,,gilles-129-sdn-conexion-1/ruta.gpx,1.027,50,ausente,,,no,pendiente,tramo-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,81d3ff3f518b6877c720c03d6793374af18a2fb798cd947526c94f1fea1af4be
130,gilles-130-sdn-conexion-2,SDN-conexión-2,,gilles-130-sdn-conexion-2/ruta.gpx,0.480,25,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,70478d3c63fbe8b0dd7dadb372590d6d1a99ea16b49696b021d4dafe05bc5b86
131,gilles-131-sdn-lateral,SDN-lateral,,gilles-131-sdn-lateral/ruta.gpx,2.613,85,ausente,,,no,pendiente,sin-elevacion,7eed5e3221fe2fc620d938eee886ffede4376cec061e99fff855e40aaa0275fa
132,gilles-132-sdo-bajada-df-amatlan,SDO-bajada DF-Amatlán,,gilles-132-sdo-bajada-df-amatlan/ruta.gpx,3.327,100,ausente,,,no,pendiente,sin-elevacion,baa2da88b77baa6ac7ab4e14973f730f398664d8287155c089d469b59f59e085
133,gilles-133-sdo-conexion-1,SDO-conexión-1,,gilles-133-sdo-conexion-1/ruta.gpx,0.422,12,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,0f71acc66846bfaa49bc128db61a359b246f3c51ac2655e609a26eb1681aa89e
134,gilles-134-sdo-conexion-2,SDO-conexión-2,,gilles-134-sdo-conexion-2/ruta.gpx,0.458,22,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,c029e557cdf4aedb71d9e1d10acc9bc7d11ea116ef8c0ac915928386c8482f7c
135,gilles-135-sdo-conexion-3,SDO-conexión-3,,gilles-135-sdo-conexion-3/ruta.gpx,0.095,11,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,e347784cd9b6ce51b9a41c50887e7a4a91fbdaaa0d18a008864ef48caccba203
136,gilles-136-sdo-cumbre-del-cerro-huitzilac,SDO-cumbre del cerro Huitzilac,,gilles-136-sdo-cumbre-del-cerro-huitzilac/ruta.gpx,0.440,22,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,ffb4fd6f7014854c6c68e3cf690e75d357d128423040c43f78eed4e66e4c48fd
137,gilles-137-sdo-df,SDO-DF,,gilles-137-sdo-df/ruta.gpx,9.156,399,ausente,,,no,pendiente,sin-elevacion,030ca7401c271a134601ac51db35a5f43c920b3b8e8616234b9c0b26493a2797
138,gilles-138-sdo-df-a-milpa-alta,SDO-DF a Milpa Alta,,gilles-138-sdo-df-a-milpa-alta/ruta.gpx,13.767,207,ausente,,,no,pendiente,sin-elevacion,2f9371ec91831a0839745067552a897863a84b309efc127382b7123218372232
139,gilles-139-sdo-lateral-arriba,SDO-lateral arriba,,gilles-139-sdo-lateral-arriba/ruta.gpx,0.364,20,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,c9a6096a52acd3fa99dff2c524a487584c5a92adeacfbeadfbd2b25e5565ac34
140,gilles-140-sdo-subida-1,SDO-subida-1,,gilles-140-sdo-subida-1/ruta.gpx,1.860,93,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,822170535e77ea07b72f84799bb39b00e6982936d63fef3c0bdd6ae06758d049
141,gilles-141-sdo-subida-2,SDO-subida-2,,gilles-141-sdo-subida-2/ruta.gpx,1.612,62,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,4ea5677a20aae803c0e6c209d7baa52172b467cc39b2269eabdab43eba78dd82
142,gilles-142-sdo-vuelta-arriba,SDO-vuelta arriba,,gilles-142-sdo-vuelta-arriba/ruta.gpx,5.333,205,ausente,,,no,pendiente,sin-elevacion,c972cce72a7ab84e1966e950ce61c359eb8c5105382df5319b34d4cd2fda4b35
143,gilles-143-sj-sd-a-c,SJ-SD- A.C.,,gilles-143-sj-sd-a-c/ruta.gpx,3.625,36,ausente,,,no,pendiente,sin-elevacion,dfec71e3cd4c61807e296c68a2ed97c780561726b1e94a8f4ba66f0abf0f1626
144,gilles-144-sj-sd-por-la-cresta,SJ-SD-por la cresta,,gilles-144-sj-sd-por-la-cresta/ruta.gpx,3.807,58,ausente,,,no,pendiente,sin-elevacion,057a5adef7c425387b92ab951a898b36d00be16aad55aec84d8874915c120626
145,gilles-145-sje-a-c-al-df-por-las-cruces,SJE-A.C. al DF por las cruces,,gilles-145-sje-a-c-al-df-por-las-cruces/ruta.gpx,4.838,104,ausente,,,no,pendiente,sin-elevacion,7c064bbfa63f70fe09706139c85e062618cde5614f5823992b8a84b52e7e4216
146,gilles-146-sje-canada,SJE-cañada,,gilles-146-sje-canada/ruta.gpx,0.651,16,ausente,,,no,pendiente,tramo-corto|sin-elevacion,0a3e31f1cbfead724e459ce2c008624cfe6280e216bafe5b85e668b5687d365e
147,gilles-147-sje-por-el-arroyo,SJE-por el arroyo,,gilles-147-sje-por-el-arroyo/ruta.gpx,2.542,45,ausente,,,no,pendiente,sin-elevacion,bf5f1ea06b247c7f6897affc96b4ff8e0526c9aa6c6be113fe2f741e86e062fd
148,gilles-148-sje-por-el-magno,SJE-por el Magno,,gilles-148-sje-por-el-magno/ruta.gpx,1.908,70,ausente,,,no,pendiente,tramo-corto|sin-elevacion,27a7606014de503eab1985c4fdf64048925e84f2057d8d0d3b850f003768044a
149,gilles-149-sje-subida-en-bosque,SJE-subida en bosque,,gilles-149-sje-subida-en-bosque/ruta.gpx,2.155,24,ausente,,,no,pendiente,sin-elevacion,6ca1afe24f05686bd8d8f453b23daafe2e5734b36650edf30df5ab92a6d168ce
150,gilles-150-sje-tres-vistas,SJE-tres vistas,,gilles-150-sje-tres-vistas/ruta.gpx,1.518,40,ausente,,,no,pendiente,tramo-corto|sin-elevacion,0dac4b5cf579400166680ab6947b8d5fedbb8a662ce27e23c488976977f01283
151,gilles-151-sjp-bypass-1,SJP-bypass-1,,gilles-151-sjp-bypass-1/ruta.gpx,2.046,52,ausente,,,no,pendiente,nombre-con-sufijo-numerico|sin-elevacion,7704f412cad8a1d3d4bc85519acfad3e1fc2386eaf967f3f8440e5e6bb4d2e9e
152,gilles-152-sjp-bypass-2,SJP-bypass-2,,gilles-152-sjp-bypass-2/ruta.gpx,1.936,43,completa,2630.0,2931.7,no,pendiente,tramo-corto|nombre-con-sufijo-numerico,578a6c3a144283c2401a4e01b965abff11b41708ed2e1b0f1a75114a3be673ec
153,gilles-153-sjp-calle201504,SJP-calle201504,,gilles-153-sjp-calle201504/ruta.gpx,0.617,13,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,050bb8bdd6c0b84aaee6f8fcac08a51346b2a38bed152be9a19fb30ce7a9f7f6
154,gilles-154-sjp-camino-a-la-gruta,SJP-camino a la gruta,,gilles-154-sjp-camino-a-la-gruta/ruta.gpx,1.467,54,ausente,,,no,pendiente,tramo-corto|sin-elevacion,b38d564ee8d81f2683d2068152e27ad75e6386d1f4f64c3db0774b6d5cd402ce
155,gilles-155-sjp-camino-intermedio,SJP-camino intermedio,,gilles-155-sjp-camino-intermedio/ruta.gpx,5.222,129,ausente,,,no,pendiente,sin-elevacion,82a563545cd6a3627aaac01a7e791e18f3de1faafc10e8e1a56e47335cb6f9da
156,gilles-156-sjp-camino-mas-alto,SJP-camino más alto,,gilles-156-sjp-camino-mas-alto/ruta.gpx,1.702,60,completa,2465.2,2733.9,no,pendiente,tramo-corto,93056057dbab1b4b2c3b01daa799bfa29ed67ef9ebec12254ed02c84f06f94dd
157,gilles-157-sjp-camino-ocochcocho,SJP-camino Ocochcocho,,gilles-157-sjp-camino-ocochcocho/ruta.gpx,8.046,275,ausente,,,no,pendiente,sin-elevacion,f390baf1d7e9f8f697dcda349af69c3b33bb0a5ae4ae284ec72f389562d5da42
158,gilles-158-sjp-conexion,SJP-conexión,,gilles-158-sjp-conexion/ruta.gpx,0.395,5,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|sin-elevacion,8066632976641cd8a04902cfe3b091b6d680c32c901c6dbf5bbb8a7eb24e93a8
159,gilles-159-sjp-entre-dos-ex,SJP-entre dos ex,,gilles-159-sjp-entre-dos-ex/ruta.gpx,1.132,92,ausente,,,no,pendiente,tramo-corto|sin-elevacion,0c9b8ff0a4fa7c4a545d0348ca938a96d51fad336c3dc65e2cc25580768cd911
160,gilles-160-sjp-hasta-3000m,SJP-hasta 3000m,,gilles-160-sjp-hasta-3000m/ruta.gpx,5.209,222,ausente,,,no,pendiente,sin-elevacion,a74d15b845719e96adff9915e9606fcf4f9c41ebc999ebfcf009c6dd7c3cba8c
161,gilles-161-sjp-jardin-de-lava,SJP-jardín de lava,,gilles-161-sjp-jardin-de-lava/ruta.gpx,2.277,60,ausente,,,no,pendiente,sin-elevacion,54a533e8a5a62047a33f4bb8ad2170d1614ff02f75b147b40dd5f4f23d3141e0
162,gilles-162-sjp-lateral-alta-central,SJP-lateral alta central,,gilles-162-sjp-lateral-alta-central/ruta.gpx,2.877,49,ausente,,,no,pendiente,sin-elevacion,4f687a5a06a8737b97b9c25f6cbf16cc045a4298ac229f97193948afa6651bc8
163,gilles-163-sjp-lateral-alta-1,SJP-lateral alta-1,,gilles-163-sjp-lateral-alta-1/ruta.gpx,1.869,59,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,4c6d394b3ed8f33e42ccfda309d9443b5334451d3ce98bd835ef2cc6de08c6f7
164,gilles-164-sjp-lateral-alta-2,SJP-lateral alta-2,,gilles-164-sjp-lateral-alta-2/ruta.gpx,1.017,35,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,b79a2e7c3bde9dd1aa86355a5ec017edd311bb490935c40f4b215e7dc1577fa4
165,gilles-165-sjp-lateral-alta-3,SJP-lateral alta-3,,gilles-165-sjp-lateral-alta-3/ruta.gpx,1.646,47,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,f4d64c4fff901168a5e14241ba9bf8314a956315d43b5e817fab6fab408d5e28
166,gilles-166-sjp-lateral-baja,SJP-lateral baja,,gilles-166-sjp-lateral-baja/ruta.gpx,1.474,41,ausente,,,no,pendiente,tramo-corto|sin-elevacion,74b83f7b16e5983c7f23bae40b01e77876ecd17bfcc2e8b2dc423f4d7bed71fd
167,gilles-167-sjp-lateral-baja-2,SJP-lateral baja-2,,gilles-167-sjp-lateral-baja-2/ruta.gpx,2.781,66,ausente,,,no,pendiente,nombre-con-sufijo-numerico|sin-elevacion,a0f0ee3c690487fe6da4c35a877844382cf19e86078a1c24bc275551958f0847
168,gilles-168-sjp-ocochocho,SJP-Ocochocho,,gilles-168-sjp-ocochocho/ruta.gpx,2.932,150,ausente,,,no,pendiente,sin-elevacion,0623b5db825adc1518e971c1024ec45a9f37dd094a7a03f78ae1176503d31772
169,gilles-169-sjp-por-el-ranchito,SJP-por el ranchito,,gilles-169-sjp-por-el-ranchito/ruta.gpx,5.652,141,ausente,,,no,pendiente,sin-elevacion,c979044720d66d511f30ea5cb28b30a154739cbcf002314cb4a59a3ffc0d6914
170,gilles-170-sjp-subida-directa,SJP-subida directa,,gilles-170-sjp-subida-directa/ruta.gpx,2.924,77,ausente,,,no,pendiente,sin-elevacion,bd587ddb8365e5cf3faf99af598ec8eac3cdf9e3a9ee789ec81a0a449c0be114
171,gilles-171-sll-4caminos,SLL-4caminos,,gilles-171-sll-4caminos/ruta.gpx,2.862,99,ausente,,,no,pendiente,sin-elevacion,2c5c4732a05867b94c8c64cf209854df2168208aa36eb626b088483977015ffd
172,gilles-172-sll-4caminos-alg2,SLL-4caminos-alG2,,gilles-172-sll-4caminos-alg2/ruta.gpx,0.742,35,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,f7e132a335379c4f0dfe360aa2c989e57fab773d2bec9a26ba738eaf3eb03d29
173,gilles-173-sll-4caminos-maripozas,SLL-4caminos-maripozas,,gilles-173-sll-4caminos-maripozas/ruta.gpx,1.290,63,ausente,,,no,pendiente,tramo-corto|sin-elevacion,6697bc0aabe51fce6c23b5d1ccaa125c352a503dcbd1840fb543baf718273ca6
174,gilles-174-sll-conexion-am-ib,SLL-conexión-AM-IB,,gilles-174-sll-conexion-am-ib/ruta.gpx,3.727,122,ausente,,,no,pendiente,posible-conector|sin-elevacion,a01cf037e2da59ca83307831634f60caa23cc6e6138df0893792a23409aa83e9
175,gilles-175-sll-cruces-4caminos,SLL-cruces-4caminos,,gilles-175-sll-cruces-4caminos/ruta.gpx,1.943,94,ausente,,,no,pendiente,tramo-corto|sin-elevacion,235857498f9354ed84613d3946a008fa83e78506e427bd71ad86c099c346ac0f
176,gilles-176-sll-mariposas-1,SLL-Mariposas-1,,gilles-176-sll-mariposas-1/ruta.gpx,0.173,17,ausente,,,no,pendiente,tramo-muy-corto|nombre-con-sufijo-numerico|sin-elevacion,0e0cd227562d8b0e41c2c246891b52ad4fe4d9517ef4a57ce886b03cd37226c3
177,gilles-177-sll-mariposas-2,SLL-Mariposas-2,,gilles-177-sll-mariposas-2/ruta.gpx,0.207,12,ausente,,,no,pendiente,tramo-muy-corto|nombre-con-sufijo-numerico|sin-elevacion,b06dffb9f9cb83abe1a7d3df0a0a0e693e964daf17dc1d6c4f6625289d4b7c47
178,gilles-178-ta-tlayacapan-i-bastida,TA-Tlayacapán-I.Bastida,,gilles-178-ta-tlayacapan-i-bastida/ruta.gpx,6.101,192,completa,1300.0,1758.5,no,pendiente,,a6175e15efdb47daff6d451e56bd62ff57c14f58f2621d14deb924fce05e0742
179,gilles-179-tep-a-la-piramide,TEP-a la pirámide,,gilles-179-tep-a-la-piramide/ruta.gpx,0.147,15,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,1692ccbfa835dd1d2c235d92a2f2ccc68ae78f334e64b336c3531f32519f75c9
180,gilles-180-tep-a-c-alterna,TEP-A.C. alterna,,gilles-180-tep-a-c-alterna/ruta.gpx,0.883,36,completa,1921.9,2038.6,no,pendiente,tramo-corto,2c616c3f5db2448d171ee49354ff2c0eda21ecc291ef6d1d63ebe32fc57c873c
181,gilles-181-tep-calle-la-cumbre,TEP-calle la cumbre,,gilles-181-tep-calle-la-cumbre/ruta.gpx,1.103,11,ausente,,,no,pendiente,tramo-corto|sin-elevacion,89e4c51a1bd6677c4f43af062bdfc7c74f988b7ce76dc95aa5dbce7659737110
182,gilles-182-tep-camino-a-meztitla,TEP-camino a Meztitla,,gilles-182-tep-camino-a-meztitla/ruta.gpx,1.335,48,ausente,,,no,pendiente,tramo-corto|sin-elevacion,dee233b2059225992a3e45c3537cb076e51bfea1c0a63e18148a9ddf8ebf1383
183,gilles-183-tep-cerro-del-hombre,TEP-cerro del Hombre,,gilles-183-tep-cerro-del-hombre/ruta.gpx,0.469,32,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,1733a7aac1502755d24e45ab8d598a6ca874fa7dd0dac0d405cc1ca7d0ef0c85
184,gilles-184-tep-conexion-con-la-carretera,TEP-conexión con la carretera,,gilles-184-tep-conexion-con-la-carretera/ruta.gpx,0.375,14,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|sin-elevacion,e1cae9f8b6d6a9027a0e58ed2bc644e82ab004070fe9bcc3a8d755cfe9342f0e
185,gilles-185-tep-conexion-pegada-a-la-pista,TEP-conexión pegada a la pista,,gilles-185-tep-conexion-pegada-a-la-pista/ruta.gpx,0.994,26,completa,1670.3,1722.7,no,pendiente,tramo-corto|posible-conector,d8b63b6d0710591a612c92a4eca2188813e5489b32a2bbc1a48f1683271066ae
186,gilles-186-tep-corredores-del-aire,TEP-corredores del aire,,gilles-186-tep-corredores-del-aire/ruta.gpx,1.210,57,ausente,,,no,pendiente,tramo-corto|sin-elevacion,8f50e23c6d287386f3db4614c61687e81a2b09f38315f0efa4bb731bc6bca38f
187,gilles-187-tep-cumbre-del-ocelotepetl,TEP-cumbre del Ocelotépetl,,gilles-187-tep-cumbre-del-ocelotepetl/ruta.gpx,1.172,58,ausente,,,no,pendiente,tramo-corto|sin-elevacion,120a98463ec6f0c391d58c319be859f060ea73c9a3ab2090939d89ef59ca966c
188,gilles-188-tep-gasolinera-a-san-pedro,TEP-gasolinera a San Pedro,,gilles-188-tep-gasolinera-a-san-pedro/ruta.gpx,0.950,18,ausente,,,no,pendiente,tramo-corto|sin-elevacion,700144936ca85e57994c7b271f2cb1fec86cecb055f954610de8cc85e4dd9c1f
189,gilles-189-tep-lateral-al-ocelotepetl,TEP-lateral al Ocelotépetl,,gilles-189-tep-lateral-al-ocelotepetl/ruta.gpx,1.003,44,completa,2018.5,2102.8,no,pendiente,tramo-corto,0b9c8f88dea4c20b8033621a71a1478c54681643fcc299f4572740215eca0679
190,gilles-190-tep-otra-bajada-del-ocelotepetl,TEP-otra bajada del Ocelotépetl,,gilles-190-tep-otra-bajada-del-ocelotepetl/ruta.gpx,0.642,43,ausente,,,no,pendiente,tramo-corto|sin-elevacion,0e152905ee85224e4d7af9475d3bf1a96ef8c56654be2cc8aab6e411286cd167
191,gilles-191-tep-por-la-piramide,TEP-por la píramide,,gilles-191-tep-por-la-piramide/ruta.gpx,4.013,81,completa,1722.4,2109.3,no,pendiente,,ef2f829f22448dfdccde32611e3f6e3b45b279985b46d21a9089a392b72408cc
192,gilles-192-tep-por-tierra-blanca,TEP-por tierra blanca,,gilles-192-tep-por-tierra-blanca/ruta.gpx,2.341,60,ausente,,,no,pendiente,sin-elevacion,b88ed7ed7ec6e958ead81eea76248ac2e9a908896f74f7d27e8743274ea10937
193,gilles-193-tep-sd-a-c,TEP-SD-A.C.,,gilles-193-tep-sd-a-c/ruta.gpx,4.372,43,ausente,,,no,pendiente,sin-elevacion,5884201bccaefece6f40472de8ccd429e54a4b4822fd93061441d98e1ced6435
194,gilles-194-tep-sj-a-c,TEP-SJ-A.C.,,gilles-194-tep-sj-a-c/ruta.gpx,5.226,126,completa,1727.4,2375.4,no,pendiente,,a49654dbdcdeaad8dd6c361eb5d87716bc11119f01b39621a756d31392abdcfa
